brand_id,brand_name,category,description,url,is_flagship,scraped_at,category_clean,is_spirits,description_short,has_description,processed_at,data_source
11,Elmer T. Lee,Bourbon Whiskey,"Named after the legendary Buffalo Trace master distiller who pioneered single barrel bourbon in 1984, Elmer T. Lee is a premium single barrel bourbon.",https://www.elmertlee.com,False,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"Named after the legendary Buffalo Trace master distiller who pioneered single barrel bourbon in 1984, Elmer T. Lee is a premium single barrel bourbon.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
12,Fireball Cinnamon Whisky,Flavored Whisky,Fireball Cinnamon Whisky is the best-selling flavored whisky in the US. Blended Canadian whisky with a cinnamon flavor and a fiery kick.,https://www.fireballwhisky.com,True,2026-03-31T23:59:05.891855,Flavored Whiskey,True,Fireball Cinnamon Whisky is the best-selling flavored whisky in the US. Blended Canadian whisky with a cinnamon flavor and a fiery kick.,True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
13,Fleischmann'S,Whiskey,"Fleischmann's is a classic American blended whiskey known for its smooth, mellow character and consistent quality at an accessible price point.",https://www.sazerac.com/brands/fleischmanns,False,2026-03-31T23:59:05.891855,Whiskey,True,"Fleischmann's is a classic American blended whiskey known for its smooth, mellow character and consistent quality at an accessible price point.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
14,Nikolai Vodka,Vodka,"Nikolai Vodka is a value vodka produced for the everyday consumer, offering consistent quality at an affordable price point across US markets.",https://www.sazerac.com/brands/nikolai,False,2026-03-31T23:59:05.891855,Vodka,True,"Nikolai Vodka is a value vodka produced for the everyday consumer, offering consistent quality at an affordable price point across US markets.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
15,Platinum 7X Vodka,Vodka,"Platinum 7X is a seven-times distilled vodka that delivers an ultra-smooth taste, crafted for consumers seeking premium quality at a competitive price.",https://www.platinum7xvodka.com,False,2026-03-31T23:59:05.891855,Vodka,True,"Platinum 7X is a seven-times distilled vodka that delivers an ultra-smooth taste, crafted for consumers seeking premium quality at a competitive price.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
16,Rain Vodka,Vodka,"Rain Organic Vodka is made with organically grown white corn and distilled eight times for exceptional purity and a clean, crisp taste.",https://www.rainvodka.com,False,2026-03-31T23:59:05.891855,Vodka,True,"Rain Organic Vodka is made with organically grown white corn and distilled eight times for exceptional purity and a clean, crisp taste.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
17,Admiral Nelson'S Rum,Rum,Admiral Nelson's is a premium Caribbean rum known for its affordable price and wide variety of flavors. One of the top-selling rums in the United States.,https://www.admiralnelsons.com,False,2026-03-31T23:59:05.891855,Rum,True,Admiral Nelson's is a premium Caribbean rum known for its affordable price and wide variety of flavors. One of the top-selling rums in the United States.,True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
18,Tortuga Caribbean Rum,Rum,"Tortuga Caribbean Rum is an authentic Caribbean spirit, capturing the essence of island life with a smooth, rich flavor profile.",https://www.tortugarums.com,False,2026-03-31T23:59:05.891855,Rum,True,"Tortuga Caribbean Rum is an authentic Caribbean spirit, capturing the essence of island life with a smooth, rich flavor profile.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
19,Corazón Tequila,Tequila,"Corazón Tequila is crafted at the Casa San Matías distillery in Jalisco, Mexico. Available in Blanco, Reposado, and Añejo expressions.",https://www.corazontequila.com,False,2026-03-31T23:59:05.891855,Tequila,True,"Corazón Tequila is crafted at the Casa San Matías distillery in Jalisco, Mexico. Available in Blanco, Reposado, and Añejo expressions.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
20,Margaritaville Tequila,Tequila,Margaritaville Tequila captures the spirit of the iconic lifestyle brand. Crafted for the perfect margarita experience.,https://www.margaritavilletequila.com,False,2026-03-31T23:59:05.891855,Tequila,True,Margaritaville Tequila captures the spirit of the iconic lifestyle brand. Crafted for the perfect margarita experience.,True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
21,Seagram'S Gin,Gin,"Seagram's Extra Dry Gin is one of America's most popular gins, distilled with a proprietary blend of botanicals for a balanced, smooth flavor.",https://www.seagramsgin.com,True,2026-03-31T23:59:05.891855,Gin,True,"Seagram's Extra Dry Gin is one of America's most popular gins, distilled with a proprietary blend of botanicals for a balanced, smooth flavor.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
22,Dr. Mcgillicuddy'S,Liqueur,"Dr. McGillicuddy's is a line of flavored schnapps and liqueurs known for their intense, authentic flavors. Available in over 15 varieties.",https://www.drmcgillicuddys.com,False,2026-03-31T23:59:05.891855,Liqueur,False,"Dr. McGillicuddy's is a line of flavored schnapps and liqueurs known for their intense, authentic flavors. Available in over 15 varieties.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
23,99 Brand Schnapps,Schnapps,"99 Brand is a line of 99-proof mini liqueur shots available in over 30 flavors. Extremely popular for shots, cocktails, and mixers at bars and events.",https://www.99schnapps.com,False,2026-03-31T23:59:05.891855,Schnapps/Liqueur,False,"99 Brand is a line of 99-proof mini liqueur shots available in over 30 flavors. Extremely popular for shots, cocktails, and mixers at bars and events.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
24,Southern Comfort,Liqueur,"Southern Comfort is a fruit-and-spice-flavored spirit with whiskey, created in New Orleans in 1874 and loved globally for its sweet, smooth flavor.",https://www.southerncomfort.com,True,2026-03-31T23:59:05.891855,Liqueur,False,"Southern Comfort is a fruit-and-spice-flavored spirit with whiskey, created in New Orleans in 1874 and loved globally for its sweet, smooth flavor.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
25,Christian Brothers Brandy,Brandy,"Christian Brothers is the best-selling domestic brandy in the United States, crafted from premium California grapes and aged in oak barrels.",https://www.christianbrothersbrandy.com,True,2026-03-31T23:59:05.891855,Brandy,True,"Christian Brothers is the best-selling domestic brandy in the United States, crafted from premium California grapes and aged in oak barrels.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
26,Paul Masson Grande Amber Brandy,Brandy,"Paul Masson Grande Amber Brandy is a California brandy aged in American oak, known for its smooth flavor and wide recognition in cocktail culture.",https://www.paulmassonbrandy.com,False,2026-03-31T23:59:05.891855,Brandy,True,"Paul Masson Grande Amber Brandy is a California brandy aged in American oak, known for its smooth flavor and wide recognition in cocktail culture.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
27,Stirrings Mixers,Mixer / Non-Alcoholic,Stirrings premium drink mixes and cocktail ingredients bring professional-quality cocktail mixers to home bartenders and hospitality professionals.,https://www.stirrings.com,False,2026-03-31T23:59:05.891855,Mixer,False,Stirrings premium drink mixes and cocktail ingredients bring professional-quality cocktail mixers to home bartenders and hospitality professionals.,True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
